image_name,tags
train_0,haze primary
train_1,agriculture clear primary water
train_2,clear primary
train_3,clear primary
train_4,agriculture clear habitation primary road
train_5,haze primary water
train_6,agriculture clear cultivation primary water
train_7,haze primary
train_8,agriculture clear cultivation primary
train_9,agriculture clear cultivation primary road
train_10,agriculture clear primary slash_burn water
train_11,clear primary water
train_12,cloudy
train_13,clear primary
train_14,cloudy
train_15,clear primary
train_16,clear primary
train_17,partly_cloudy primary
train_18,clear primary
train_19,agriculture clear primary road
train_20,agriculture clear primary water
train_21,clear primary road water
train_22,partly_cloudy primary
train_23,agriculture clear primary road
train_24,conventional_mine partly_cloudy primary
train_25,clear primary
train_26,cloudy
train_27,agriculture partly_cloudy primary water
train_28,clear primary
train_29,partly_cloudy primary
train_30,clear primary water
train_31,clear cultivation primary
train_32,agriculture clear primary road
train_33,agriculture cultivation partly_cloudy primary
train_34,clear primary
train_35,clear primary
train_36,agriculture clear primary road
train_37,partly_cloudy primary
train_38,clear primary
train_39,clear primary
train_40,agriculture clear cultivation primary
train_41,agriculture clear primary
train_42,clear primary
train_43,bare_ground haze
train_44,clear primary
train_45,clear primary
train_46,bare_ground clear habitation primary
train_47,clear primary water
train_48,clear primary water
train_49,clear primary
train_50,cloudy
train_51,clear primary
train_52,agriculture clear habitation primary road water
train_53,clear primary
train_54,clear primary
train_55,partly_cloudy primary road water
train_56,clear primary water
train_57,artisinal_mine bare_ground clear primary water
train_58,agriculture clear primary road
train_59,agriculture clear habitation primary road
train_60,haze primary
train_61,clear primary
train_62,clear primary water
train_63,agriculture clear primary road
train_64,agriculture clear primary
train_65,clear primary
train_66,agriculture clear primary road
train_67,clear habitation primary road
train_68,cloudy
train_69,clear primary
train_70,blooming clear primary
train_71,clear primary water
train_72,cloudy
train_73,clear primary
train_74,agriculture partly_cloudy primary road
train_75,agriculture clear primary road water
train_76,partly_cloudy primary
train_77,cloudy
train_78,clear primary
train_79,clear cultivation primary
train_80,agriculture partly_cloudy primary road
train_81,clear primary
train_82,blooming clear cultivation habitation primary slash_burn
train_83,clear primary
train_84,agriculture clear habitation primary road
train_85,clear primary water
train_86,clear primary
train_87,cloudy
train_88,partly_cloudy primary
train_89,clear primary
train_90,agriculture partly_cloudy primary road
train_91,partly_cloudy primary
train_92,agriculture clear habitation primary road
train_93,clear primary
train_94,agriculture clear habitation primary road
train_95,clear primary
train_96,clear primary
train_97,cloudy
train_98,clear primary
train_99,partly_cloudy primary
train_100,bare_ground clear water
train_101,cloudy
train_102,clear primary
train_103,agriculture clear habitation primary road water
train_104,haze primary
train_105,clear primary
train_106,clear primary
train_107,partly_cloudy primary
train_108,cloudy
train_109,clear primary
train_110,clear primary
train_111,cloudy
train_112,agriculture clear primary road
train_113,agriculture clear primary
train_114,clear primary water
train_115,clear primary water
train_116,agriculture clear primary road
train_117,clear primary
train_118,cloudy
train_119,agriculture clear primary road water
train_120,clear primary
train_121,partly_cloudy primary water
train_122,agriculture clear primary road
train_123,agriculture bare_ground clear habitation primary road
train_124,bare_ground clear primary
train_125,agriculture clear primary
train_126,agriculture clear primary road
train_127,clear primary
train_128,clear primary
train_129,agriculture clear primary
train_130,partly_cloudy primary
train_131,agriculture clear primary road water
train_132,haze primary
train_133,haze primary
train_134,clear primary
train_135,clear primary water
train_136,haze primary
train_137,clear primary
train_138,cloudy
train_139,clear primary
train_140,clear primary
train_141,partly_cloudy primary water
train_142,agriculture clear habitation primary road
train_143,partly_cloudy primary water
train_144,agriculture partly_cloudy primary selective_logging
train_145,partly_cloudy primary
train_146,clear cultivation primary
train_147,clear primary
train_148,agriculture clear cultivation primary water
train_149,clear primary
train_150,agriculture partly_cloudy primary
train_151,agriculture clear cultivation primary selective_logging
train_152,haze primary
train_153,clear primary
train_154,clear primary
train_155,clear primary
train_156,clear primary water
train_157,agriculture partly_cloudy primary
train_158,agriculture clear primary water
train_159,agriculture clear primary road
train_160,partly_cloudy primary
train_161,partly_cloudy primary
train_162,agriculture partly_cloudy primary
train_163,clear primary
train_164,clear primary
train_165,clear primary water
train_166,clear primary road selective_logging water
train_167,agriculture habitation partly_cloudy primary road
train_168,cloudy
train_169,agriculture clear primary road
train_170,clear primary water
train_171,agriculture clear primary road
train_172,agriculture clear primary road
train_173,clear cultivation primary
train_174,cloudy
train_175,clear primary
train_176,clear primary
train_177,agriculture clear primary road water
train_178,clear primary
train_179,cloudy
train_180,haze primary
train_181,clear primary
train_182,partly_cloudy primary
train_183,clear primary
train_184,partly_cloudy primary
train_185,agriculture artisinal_mine clear cultivation habitation primary road water
train_186,clear primary road water
train_187,artisinal_mine clear primary road
train_188,clear primary water
train_189,clear primary road water
train_190,clear primary
train_191,partly_cloudy primary
train_192,blow_down clear primary
train_193,partly_cloudy primary
train_194,partly_cloudy primary
train_195,agriculture clear primary road
train_196,haze primary
train_197,agriculture clear primary road
train_198,clear primary
train_199,agriculture clear cultivation primary
train_200,clear primary
train_201,clear primary
train_202,clear habitation road
train_203,cloudy
train_204,clear primary
train_205,agriculture clear cultivation primary
train_206,partly_cloudy primary
train_207,bare_ground clear primary road
train_208,clear primary
train_209,agriculture clear primary road
train_210,partly_cloudy primary
train_211,clear habitation primary road
train_212,partly_cloudy primary
train_213,agriculture clear primary road water
train_214,clear primary
train_215,haze primary water
train_216,agriculture clear primary road
train_217,bare_ground clear primary
train_218,agriculture clear cultivation habitation primary road
train_219,clear primary
train_220,partly_cloudy primary
train_221,clear primary
train_222,agriculture clear cultivation habitation primary road water
train_223,clear primary
train_224,agriculture clear primary
train_225,agriculture clear cultivation habitation primary road
train_226,cloudy
train_227,agriculture clear cultivation primary
train_228,agriculture haze primary road water
train_229,agriculture clear cultivation primary
train_230,agriculture bare_ground habitation partly_cloudy primary road
train_231,partly_cloudy primary
train_232,clear primary
train_233,clear primary water
train_234,cloudy
train_235,clear primary
train_236,clear primary
train_237,artisinal_mine clear primary road water
train_238,clear primary
train_239,bare_ground clear primary water
train_240,agriculture clear primary road
train_241,agriculture haze primary road
train_242,clear primary
train_243,clear primary
train_244,clear primary
train_245,clear primary blooming
train_246,clear primary
train_247,agriculture clear cultivation habitation primary road selective_logging
train_248,haze primary
train_249,partly_cloudy primary
train_250,clear primary
train_251,clear primary
train_252,clear habitation primary
train_253,agriculture clear habitation primary road
train_254,clear primary
train_255,agriculture clear habitation primary road
